日期,時段,進站車站,出站車站,進站人數,出站人數
2026-06-10,10,板橋,板橋,446,1035
2026-06-10,11,板橋,板橋,402,1407
2026-06-10,12,板橋,板橋,322,600
2026-06-10,13,板橋,板橋,966,493
2026-06-10,14,板橋,板橋,479,1083
2026-06-10,15,板橋,板橋,397,1181
2026-06-10,16,板橋,板橋,951,343
2026-06-10,17,板橋,板橋,2608,7272
2026-06-10,18,板橋,板橋,3147,4186
2026-06-10,19,板橋,板橋,3794,4659
2026-06-10,20,板橋,板橋,963,1154
2026-06-10,21,板橋,板橋,602,346
2026-06-10,22,板橋,板橋,1371,1063
2026-06-10,23,板橋,板橋,688,1128
2026-06-10,0,淡水,淡水,1,0
2026-06-10,1,淡水,淡水,2,3
2026-06-10,2,淡水,淡水,0,0
2026-06-10,3,淡水,淡水,1,1
2026-06-10,4,淡水,淡水,2,3
2026-06-10,5,淡水,淡水,1,0
2026-06-10,6,淡水,淡水,1080,201
2026-06-10,7,淡水,淡水,6944,2827
2026-06-10,8,淡水,淡水,6301,1952
2026-06-10,9,淡水,淡水,7108,2683
2026-06-10,10,淡水,淡水,1214,208
2026-06-10,11,淡水,淡水,1456,1322
2026-06-10,12,淡水,淡水,1015,407
2026-06-10,13,淡水,淡水,1354,603
2026-06-10,14,淡水,淡水,351,253
2026-06-10,15,淡水,淡水,1343,827
2026-06-10,16,淡水,淡水,786,303
2026-06-10,17,淡水,淡水,2253,7298
2026-06-10,18,淡水,淡水,3496,4098
2026-06-10,19,淡水,淡水,4200,5884
2026-06-10,20,淡水,淡水,1113,1077
2026-06-10,21,淡水,淡水,537,1021
2026-06-10,22,淡水,淡水,1386,1156
2026-06-10,23,淡水,淡水,360,1000
2026-06-10,0,中山,中山,4,3
2026-06-10,1,中山,中山,2,0
2026-06-10,2,中山,中山,0,3
2026-06-10,3,中山,中山,2,2
2026-06-10,4,中山,中山,4,2
2026-06-10,5,中山,中山,2,2
2026-06-10,6,中山,中山,425,997
2026-06-10,7,中山,中山,7680,1783
2026-06-10,8,中山,中山,6926,2459
2026-06-10,9,中山,中山,5504,1952
2026-06-10,10,中山,中山,1219,1015
2026-06-10,11,中山,中山,858,746
2026-06-10,12,中山,中山,1415,1272
2026-06-10,13,中山,中山,216,1395
2026-06-10,14,中山,中山,1443,357
2026-06-10,15,中山,中山,676,1269
2026-06-10,16,中山,中山,717,298
2026-06-10,17,中山,中山,3768,5060
2026-06-10,18,中山,中山,4327,7420
2026-06-10,19,中山,中山,2301,4180
2026-06-10,20,中山,中山,806,1322
2026-06-10,21,中山,中山,899,1192
2026-06-10,22,中山,中山,1339,390
2026-06-10,23,中山,中山,452,1180
2026-06-10,0,松江南京,松江南京,0,2
2026-06-10,1,松江南京,松江南京,1,0
2026-06-10,2,松江南京,松江南京,1,1
2026-06-10,3,松江南京,松江南京,2,1
2026-06-10,4,松江南京,松江南京,1,2
2026-06-10,5,松江南京,松江南京,1,1
2026-06-10,6,松江南京,松江南京,984,1327
2026-06-10,7,松江南京,松江南京,7464,1745
2026-06-10,8,松江南京,松江南京,7247,2562
2026-06-10,9,松江南京,松江南京,5500,2258
2026-06-10,10,松江南京,松江南京,737,1120
2026-06-10,11,松江南京,松江南京,607,724
2026-06-10,12,松江南京,松江南京,1027,1102
2026-06-10,13,松江南京,松江南京,235,884
2026-06-10,14,松江南京,松江南京,219,520
2026-06-10,15,松江南京,松江南京,711,599
2026-06-10,16,松江南京,松江南京,853,1171
2026-06-10,17,松江南京,松江南京,3906,6518
2026-06-10,18,松江南京,松江南京,3166,5115
2026-06-10,19,松江南京,松江南京,2833,5823
2026-06-10,20,松江南京,松江南京,926,1053
2026-06-10,21,松江南京,松江南京,250,774
2026-06-10,22,松江南京,松江南京,1413,1348
2026-06-10,23,松江南京,松江南京,349,513
